AG	Elmore
AH	Essex
AI	Estill
AJ	Etowah
AK	FL
AL	Fairfax
AM	Fairfield
AN	Falls Church
AO	Fannin
AP	Faulkner
AQ	Fauquier
AR	Fayette
AS	Fentress
AT	Flagging
AU	Fleming
AV	Floyd
AW	Fluvanna
AX	Ford
AY	Forest
AZ	Forsyth
B0	Fountain
B1	Franklin
B2	Frederick
B3	Fredericksburg
B4	Freemont
B5	Fremont
B6	Fulton
B7	GA
B8	Gadsden
B9	Gallatin
BA	Gallia
BB	Gannett
BC	Garland
BD	Garrard
BE	Garrett
BF	Garvin
BG	Gasconade
BH	Gaston
BI	Geary
BJ	Geauga
BK	Genesee
BL	Gentry
BM	George
BN	Gibson
BO	Giles
BP	Gilmer
BQ	Gloucester
BR	Goochland
BS	Gordon
BT	Grady
BU	Graham
BV	Grainger
BW	Grant
BX	Granville
BY	Gratiot
BZ	Graves
C0	Grayson
C1	Green
C2	Green Lake
C3	Greenbrier
C4	Greene
C5	Greenup
C6	Greenville
C7	Greenwood
C8	Grenada
C9	Grundy
CA	Guernsey
CB	Guilford
CC	Guthrie
CD	Gwinnett
CE	Habersham
CF	Hale
CG	Halifax
CH	Hall
CI	Hamblen
CJ	Hamilton
CK	Hampshire
CL	Hancock
CM	Hanover
CN	Haralson
CO	Hardeman
CP	Hardin
CQ	Hardy
CR	Harford
CS	Harlan
CT	Harnett
CU	Harris
CV	Harrison
CW	Harrisonburg
CX	Hart
CY	Hartford
CZ	Hawkins
D0	Haywood
D1	Hempstead
D2	Henderson
D3	Henrico
D4	Henry
D5	Hertford
D6	Hickman
D7	Hickory
D8	Highland
D9	Hillsdale
DA	Hinds
DB	Hocking
DC	Holmes
DD	Holt
DE	Hopkins
DF	Hot Spring
DG	Houston
DH	Howard
DI	Howell
DJ	Humphreys
DK	Hunterdon
DL	Huntingdon
DM	Huntingdon,
DN	Huntington
DO	Huron
DP	I (1)
DQ	IA
DR	II (2)
DS	III (3)
DT	IL
DU	IN
DV	IV (4)
DW	IX (9)
DX	Independence
DY	Indiana
DZ	Individual specimen
E0	Iowa
E1	Iredell
E2	Iron
E3	Iroquois
E4	Isle of Wight
E5	Issaquena
E6	Itawamba
E7	Izard
E8	Jackson
E9	James City
EA	Jasper
EB	Jay
EC	Jefferson
ED	Jenkins
EE	Jennings
EF	Jersey
EG	Jessamine
EH	Jo Daviess
EI	JoDaviess
EJ	Johnson
EK	Johnston
EL	Jones
EM	Juniata
EN	KS
EO	KY
EP	Kanawha
EQ	Kane
ER	Kankakee
ES	Kaufman
ET	Kay
EU	Kemper
EV	Kendall
EW	Kent
EX	Kenton
EY	Keokuk
EZ	Kershaw
F0	King George
F1	King William
F2	King and Queen
F3	Knott
F4	Knox
F5	LA
F6	La Clede
F7	La Crosse
F8	La Porte
F9	La Rue
FA	La Salle
FB	LaRue
FC	LaSalle
FD	Labette
FE	Lackawanna
FF	Laclede
FG	Lafayette
FH	Lagrange
FI	Lake
FJ	Lamar
FK	Lancaster
FL	Lapeer
FM	Larue
FN	Lauderdale
FO	Laurel
FP	Laurens
FQ	Lawrence
FR	Lawton
FS	Le Flore
FT	Leake
FU	Leavenworth
FV	Lebanon
FW	Lee
FX	Leflore
FY	Lehigh
FZ	Lenawee
G0	Leslie
G1	Letcher
G2	Lewis
G3	Lexington
G4	Licking
G5	Limestone
G6	Lincoln
G7	Linn
G8	Literature record
G9	Livingston
GA	Logan
GB	Lonoke
GC	Lorain
GD	Loudon
GE	Loudoun
GF	Louisa
GG	Lowndes
GH	Lucas
GI	Lumpkin
GJ	Lunenburg
GK	Luzerne
GL	Lycoming
GM	Lyon
GN	MA
GO	MD
GP	MI
GQ	MO
GR	MS
GS	Macon
GT	Macoupin
GU	Madison
GV	Magoffin
GW	Mahaska
GX	Mahoning
GY	Marengo
GZ	Maries
H0	Marion
H1	Marshall
H2	Martin
H3	Mason
H4	Massac
H5	Mathews
H6	Maury
H7	Mayes
H8	McCormick
H9	McCracken
HA	McCreary
HB	McCurtain
HC	McDonough
HD	McDowell
HE	McDuffie
HF	McHenry
HG	McKean
HH	McLean
HI	McMinn
HJ	McNairy
HK	Meade
HL	Mecklenburg
HM	Mecosta
HN	Medina
HO	Meigs
HP	Menard
HQ	Menifee
HR	Mercer
HS	Meriwether
HT	Metcalfe
HU	Miami
HV	Middlesex
HW	Mifflin
HX	Mills
HY	Milwaukee
HZ	Mineral
I0	Mingo
I1	Missaukee
I2	Mississippi
I3	Mitchell
I4	Mobile
I5	Mongolia
I6	Moniteau
I7	Monmouth
I8	Monoe
I9	Monongalia
IA	Monroe
IB	Montague
IC	Montcalm
ID	Montgomery
IE	Montmorency
IF	Montour
IG	Moore
IH	Morehouse
II	Morgan
IJ	Morris
IK	Moultrie
IL	Muhlenberg
IM	Murray
IN	Muscatine
IO	Muscogee
IP	Muskingum
IQ	Muskogee
IR	NAME
IS	NC
IT	NE
IU	NJ
IV	NY
IW	Nassau
IX	Negative record
IY	Nelson
IZ	Nemaha
J0	Neosho
J1	Neshoba
J2	New Castle
J3	New Haven
J4	New Kent
J5	Newberry
J6	Newton
J7	Nicholas
J8	Nichols
J9	No stragglers present
JA	Noble
JB	Nodaway
JC	Northampton
JD	Northumberland
JE	Noxubee
JF	Nymph
JG	OH
JH	OK
JI	Obion
JJ	Ocean
JK	Oconee
JL	Ogle
JM	Oglethorpe
JN	Ohio
JO	Oktibbeha
JP	Oldham
JQ	Oneida
JR	Onondaga
JS	Ontario
JT	Orange
JU	Oregon
JV	Osage
JW	Ottawa
JX	Ouachita
JY	Overton
JZ	Owen
K0	Ozark
K1	PA
K2	Page
K3	Panola
K4	Parke
K5	Patrick
K6	Paulding
K7	Pawnee
K8	Payne
K9	Peach
KA	Pemiscot
KB	Pender
KC	Pendleton
KD	Peoria
KE	Perquimans
KF	Perry
KG	Person
KH	Pettis
KI	Phelps
KJ	Philadelphia
KK	Piatt
KL	Pickaway
KM	Pickens
KN	Pike
KO	Pitt
KP	Pittsylvania
KQ	Platte
KR	Pluckemin
KS	Plymouth
KT	Pocahontas
KU	Poinsett
KV	Pointe Coupee
KW	Polk
KX	Pontotoc
KY	Pope
KZ	Population sample
L0	Portage
L1	Porter
L2	Posey
L3	Pottawatomie
L4	Pottawattamie
L5	Potter
L6	Powell
L7	Poweshiek
L8	Powhatan
L9	Prairie
LA	Preble
LB	Prentiss
LC	Preston
LD	Prince Edward
LE	Prince Georges
LF	Prince William
LG	Providence
LH	Pulaski
LI	Pushmataha
LJ	Putnam
LK	Queen Annes
LL	Queens
LM	Quitman
LN	RI
LO	Rabun
LP	Raleigh
LQ	Ralls
LR	Randolph
LS	Rankin
LT	Rappahannock
LU	Ray
LV	Red River
LW	Rensselaer
LX	Reynolds
LY	Rhea
LZ	Richardson
M0	Richland
M1	Richmond
M2	Riley
M3	Ringgold
M4	Ripley
M5	Ritchie
M6	Roane
M7	Roanoke
M8	Roanoke City
M9	Robertson
MA	Rock
MB	Rock Island
MC	Rockbridge
MD	Rockcastle
ME	Rockdale
MF	Rockingham
MG	Rockland
MH	Rogers
MI	Ross
MJ	Rowan
MK	Rush
ML	Russell
MM	Rutherford
MN	SC
MO	SD
MP	Salem
MQ	Saline
MR	Saluda
MS	Sandusky
MT	Sangamon
MU	Saratoga
MV	Sarpy
MW	Sauk
MX	Sawyer
MY	Schuyler
MZ	Schuylkill
N0	Scioto
N1	Scotland
N2	Scott
N3	Scottt
N4	Screven
N5	Searcy
N6	Sebastian
N7	Sedgwick
N8	Seneca
N9	Sequatchie
NA	Sevier
NB	Shannon
NC	Sharkey
ND	Sharp
NE	Shawnee
NF	Shelby
NG	Shenandoah
NH	Shiawassee
NI	Simpson
NJ	Smith
NK	Smyth
NL	Snyder
NM	Somerset
NN	Spalding
NO	Spartanburg
NP	Spencer
NQ	Spotsylvania
NR	St Clair
NS	St Francis
NT	St. Charles
NU	St. Clair
NV	St. Francis
NW	St. Francois
NX	St. Helena
NY	St. Joseph
NZ	St. Louis
O0	St. Louis City
O1	St. Marys
O2	St. Tammany
O3	StClair
O4	Stafford
O5	Stanly
O6	Stark
O7	Staunton
O8	Ste. Genevieve
O9	Stephens
OA	Stephenson
OB	Steuben
OC	Stewart
OD	Stoddard
OE	Stokes
OF	Stone
OG	Story
OH	Straggler record
OI	Suffolk
OJ	Sullivan
OK	Summers
OL	Summit
OM	Sumner
ON	Sumter
OO	Sunflower
OP	Surry
OQ	Sussex
OR	Swain
OS	Switzerland
OT	TN
OU	TX
OV	Talbot
OW	Taliaferro
OX	Talladega
OY	Tallahatchie
OZ	Tallapoosa
P0	Tama
P1	Taney
P2	Tangipahoa
P3	Tate
P4	Taylor
P5	Tazewell
P6	Tensas
P7	Texas
P8	Tioga
P9	Tippah
PA	Tippecanoe
PB	Tipton
PC	Tishomingo
PD	Todd
PE	Tolland
PF	Tompkins
PG	Towns
PH	Transylvania
PI	Trigg
PJ	Trimble
PK	Troup
PL	Trumbull
PM	Tucker
PN	Tulsa
PO	Tuscaloosa
PP	Tuscarawas
PQ	Tuscola
PR	Twiggs
PS	Tyler
PT	Ulster
PU	Unconfirmed record
PV	Unicoi
PW	Union
PX	Unknown
PY	Unknown species
PZ	Upshur
Q0	Upson
Q1	V (5)
Q2	VA
Q3	VI (6)
Q4	VII (7)
Q5	VIII (8)
Q6	VT
Q7	Van Buren
Q8	Van Wert
Q9	Vance
QA	Vanderburgh
QB	Venango
QC	Vermilion
QD	Vernon
QE	Vigo
QF	Vinton
QG	Virginia Beach
QH	W. Feliciana
QI	WI
QJ	WIlkes
QK	WV
QL	Wabash
QM	Wake
QN	Walker
QO	Walton
QP	Walworth
QQ	Wapello
QR	Warren
QS	Warrick
QT	Washington
QU	Washtenaw
QV	Watauga
QW	Waukesha
QX	Wayne
QY	Waynesboro
QZ	Weakley
R0	Webster
R1	Wells
R2	West Baton Rouge
R3	West Carroll
R4	West Feliciana
R5	Westchester
R6	Westmoreland
R7	Wetzel
R8	White
R9	Whiteside
